Name	Target	ID
haloperidol	DRD2, DRD1, DRD3, HTR2A, CYP3A7, DRD4, DRD5, GRIN2B, HRH1, HTR1A, HTR1D, HTR2B, HTR7, KCNH1	BRD-K67783091
NAN-190	HTR1A, ADRA1A, ADRA1B, ADRA1D, HTR1F	BRD-K69195780
methoprene-acid	NCOA2, NR1H3, RXRA, RXRB	BRD-A41145729
flutamide	AR, AHR, CYP2C19	BRD-K28307902
PRE-084	SIGMAR1	BRD-K57304726
otenzepad		BRD-A00520476
betamethasone	NR3C1	BRD-A92177080
cyclophosphamide	BCL2, CYP2B6, CYP2C19, CYP3A5, LGALS1	BRD-A09722536
mycophenolic-acid	IMPDH1, IMPDH2	BRD-K31542390
MEK1-2-inhibitor	MAP2K1, MAP2K2	BRD-K12244279
cefdinir	MPO	BRD-K52735702
HY-11007	ABL1, BCR	BRD-K97056771
tiagabine	SLC6A1, CYP2C19	BRD-K60160658
bergenin	PTPN1	BRD-A15034104
edaravone	BCL2	BRD-K35458079
AZD-6482	PIK3CD, PIK3CG, PIK3CA, PIK3CB	BRD-K58772419
azacyclonol	HRH1	BRD-K97061094
sulpiride	DRD2, CA7, DRD3, CA1, CA12	BRD-A10715913
BRD-K66896231	ACHE	BRD-K66896231
NU-7441	PRKDC, ABCB1	BRD-K00337317
taxifolin	APOB, APP, HMGCR	BRD-K94649603
RHC-80267	DAGLA, DAGLB, LIPC, LIPE, LIPG	BRD-K56047318
monastrol	KIF11	BRD-A78377521
cytochalasin-b	ACTB	BRD-K26664453
eicosatrienoic-acid		BRD-K63913457
CHEMBL-374350		BRD-K59962020
mianserin	HTR2A, HTR2C, ADRA1A, ADRA1B, ADRA1D, HRH1, HTR2B, HTR6, HTR7, ADRA2A, ADRA2B, ADRA2C, DRD1, DRD2, DRD3, DRD5, HRH2, HRH4, HTR1A, HTR1F, OPRK1, SLC6A2, SLC6A3, SLC6A4	BRD-A19661776
relcovaptan	AVPR1A, AVPR1B, AVPR2, OXTR	BRD-K96720755
ethylestrenol	AR	BRD-K39391626
teniposide	TOP2A, CYP3A5	BRD-A35588707
SD-169	MAPK14	BRD-K91904471
cefuroxime		BRD-K63641886
nonoxynol-9		BRD-K88625236
fluvastatin	HMGCR, CYP2C8	BRD-K66296774
coumestrol	ESR1, ESR2	BRD-K97509413
vincamine	CHRM1, CHRM2, CHRM3, CHRM4	BRD-K40902647
BU-239		BRD-K11696279
roquinimex		BRD-K03384561
ZD-7155	AGTR1	BRD-K11373525
benzylpenicillin		BRD-K55191674
L-750667	DRD4	BRD-K28806945
NNC-63-0532	OPRL1	BRD-K36009368
indirubin	CDK1, CDK5, CCNE1, CDK2, CDK4, CDK5R1, CDK9, GSK3A, GSK3B, LCK, LRRK1, LRRK2	BRD-K53959060
BMY-7378	HTR1A, ADRA1D, ADRA1A, ADRA1B	BRD-K31054881
dioxybenzone		BRD-K22193694
pterostilbene	FAAH, PPARA, PTGS1, PTGS2	BRD-K92870997
methandriol		BRD-K88679075
rilmenidine	NISCH	BRD-K52080565
alaproclate	SLC6A4	BRD-A14966924
HA-1004		BRD-K05434375
GDC-0879	BRAF	BRD-K67578145
remacemide	GRIN1	BRD-A36074203
TPCA-1	IKBKB	BRD-K51575138
dexbrompheniramine	HRH1	BRD-K22947005
famotidine	HRH2	BRD-K00673382
cyclazosin	ADRA1B, ADRA1A, ADRA1D	BRD-A37837077
mofezolac		BRD-K49372556
PP-30	RAF1	BRD-K30677119
SB-203186	HTR4	BRD-K27141178
chlorambucil		BRD-K29458283
bisacodyl		BRD-K39987650
AKT-inhibitor-1-2	AKT1, AKT2, AKT3	BRD-K04887706
isoeugenol		BRD-K05737787
arachidonamide	CNR1, CNR2	BRD-K29555132
H-7	PKIA, PRKACA, PRKAR1A	BRD-A55756846
erlotinib	EGFR, NR1I2	BRD-K70401845
SDZ-WAG-994	ADORA1	BRD-A31007383
cortisone	NR3C1	BRD-A54487287
canertinib	EGFR, ERBB2, ERBB4, AKT1	BRD-K50168500
propylpyrazole	ESR1	BRD-K87573634
T-0156	PDE5A	BRD-K63516691
PNU-96415E		BRD-A95096829
isoflupredone	NR3C1	BRD-K29173907
CDK2-5-inhibitor	CDK2, CDK5	BRD-K71860425
ondansetron	HTR3A, CYP2D6, CYP3A5, HTR1A, HTR1B, HTR3B, HTR4, OPRM1	BRD-A19736161
LY-303511	CSNK2A1, CSNK2A2, CSNK2B, MTOR	BRD-K22385716
sunitinib	FLT3, KDR, KIT, FLT4, FLT1, PDGFRA, PDGFRB, RET, CSF1R, FGFR1	BRD-M64432851
icosapent	PTGS1, PTGS2, ACSL3, ACSL4, FADS1, FFAR1, PPARD, PPARG, SLC8A1, TRPV1	BRD-K47192521
PHA-665752	MET	BRD-K95435023
VU-0366037-2	GRM4	BRD-K39823328
L-690488	IMPA1	BRD-K69328504
CL-218872	GABRA1, GABRA2, GABRA3, GABRA5, GABRB2, GABRG2	BRD-K00662280
PD-98059	MAP2K1, AKT1, CHEK1, GSK3B, LCK, MAP2K2, MAPK1, MAPK11, MAPK12, MAPK14, MAPK3, MAPK8, PRKCA, RAF1, ROCK1, RPS6KB1, SGK1	BRD-K62810658
medetomidine	ADRA2A, ADRA2B, ADRA2C, ADRA1A, ADRA1B, ADRA1D	BRD-A66563878
alpha-linolenic-acid	ELOVL4, FADS1, FADS2, FFAR1, FFAR4, PTGS2, SLC8A1, TRPV1	BRD-K33396764
everolimus	MTOR, CYP3A5, FKBP1A	BRD-K13514097
nor-binaltorphimine		BRD-A11135865
canrenoic-acid		BRD-K46556543
kavain	MTOR	BRD-A75455249
busulfan		BRD-K23204545
tyrphostin-AG-1478	EGFR, MAPK14	BRD-K68336408
depudecin	HDAC1, HDAC2	BRD-K07888107
arachidonyl-trifluoro-methane	PLA2G4A	BRD-K07303502
sulpiride	DRD2, CA7, DRD3, CA1, CA12	BRD-K51671335
piretanide	SLC12A1, SLC12A2	BRD-K87990216
T-98475	GNRH1, GNRHR	BRD-K62221994
rifampicin	NR1I2, ABCB1, CYP2B6, CYP2C19, CYP2C8, CYP3A4, CYP3A5, SLCO1A2, SLCO1B1, SLCO1B3	BRD-A83892713
panobinostat	HDAC1, HDAC2, HDAC3, HDAC4, HDAC6, HDAC7, HDAC8, HDAC9	BRD-K02130563
RO-60-0175	HTR2C, HTR2A, HTR2B	BRD-A49370193
saclofen	GABBR1, GABBR2, KCTD12, KCTD16, KCTD8	BRD-A24122750
DH-97	MTNR1B	BRD-K06014311
imipramine	SLC6A2, SLC6A4, CHRM2, ADRA1A, ADRA1B, ADRA1D, CHRM1, CHRM3, CHRM4, CHRM5, CYP2C19, DRD1, DRD2, DRD5, HRH1, HTR1A, HTR2A, HTR2C, HTR6, HTR7, KCND2, KCND3, KCNH1, KCNH2, SLC6A3	BRD-K38436528
chloroxine	OPRK1	BRD-K17075857
estradiol-benzoate	ESR1	BRD-A36066264
PP-1	HCK, RET, SRC	BRD-K47598052
medroxyprogesterone	PGR, ESR1	BRD-K82216340
pidotimod		BRD-K44442813
SR-57227A	HTR3A	BRD-K09397065
zeranol		BRD-A24381660
buddleoflavonoloside		BRD-K25905511
etomidate	GABRA1, ADRA2B, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ	BRD-A54880345
piroxicam	PTGS2, PTGS1	BRD-A57382968
flupentixol	DRD2, DRD1, ADRA1A, CHRM1, DRD3, DRD5, HTR2A	BRD-K70487031
droperidol	DRD2, ADRA1A	BRD-K97158071
benzydamine	PRSS1, PRSS2	BRD-K76133116
BIBX-1382	EGFR, ERBB2	BRD-K70914287
pipamperone	DRD2, HTR2A, HRH1, HTR1A, HTR1B, HTR1D	BRD-K26801045
piribedil	DRD2, DRD3, ADRA1A, ADRA2A, ADRA2C, DRD4, HTR1A, HTR2B	BRD-K47936004
meropenem		BRD-K01612348
H-89	PRKACA, GSG2, KCNA2, KCNA3, KCNA5, KCNAB2, KCNC1, KCNC2, KCNC3, KCNE1, KCNE2, KCNE3, KCNE4, KCNH1, KCNH2, KCNQ1, KCNQ2, KCNQ3, KCNQ5, KCNS3, PKIA	BRD-K27737647
formestane	CYP19A1	BRD-A31801025
AM-251	CNR1, GPR18, GPR55	BRD-K92000912
FK-888	TACR1, TACR2	BRD-K83508485
latanoprost	PTGFR	BRD-K10961822
wortmannin	PIK3CA, PIK3CG, PLK1, ATM, ATR, MTOR, PI4KA, PI4KB, PIK3CD, PIK3R1, PLK3, PRKDC	BRD-A11678676
AKT-inhibitor-IV	AKT1	BRD-K28296557
pregnenolone	CYP17A1, PGR, SULT2B1	BRD-A35912562
4-hydroxyretinoic-acid		BRD-A96799240
methyllidocaine		BRD-K60060639
acetylcholine	ACHE, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CHRNA2	BRD-K82381502
nitrendipine	CACNA1C, CACNA1D, CACNA2D1, CACNA1H, CACNA1S, CACNA2D2, CACNB2, CACNG1, KCNN4	BRD-A12560204
cefixime		BRD-K04993501
JAK3-Inhibitor-II	EGFR, ALK, JAK1, JAK2, JAK3	BRD-K52850071
eplerenone	NR3C2, CYP3A5	BRD-A39969961
vemurafenib	BRAF, CYP2C19, CYP3A4, CYP3A5, RAF1	BRD-K56343971
GSK-3-inhibitor-IX	ALOX5, GSK3A, GSK3B	BRD-K04923131
immepip	HRH3, HRH4	BRD-K25906698
QL-XI-92	DDR1	BRD-U73238814
ISOX	HDAC6	BRD-K69840642
RS-67506	HTR4	BRD-K50018155
2-(4-methoxybenzylthio)-6-methylpyrimidin-4-ol	MMP13	BRD-K48115423
digitoxigenin	ATP1A1	BRD-K18518344
SDZ-205-557	HTR3A, HTR3B, HTR4	BRD-K15868788
pheniramine	HRH1	BRD-A23072235
nefazodone	HTR2A, SLC6A4, HTR2C, SLC6A2, ADRA1A, ADRA1B, ADRA2A, CYP3A4, CYP3A5, CYP3A7, HTR1A, SLC6A3	BRD-K90789829
ST-638		BRD-K51476772
aminopentamide		BRD-A69917777
SQ-22536	ADCY1, ADCY5	BRD-A56987319
kenpaullone	GSK3B, CDK1, CDK5, CCNB1, CDK2, LCK	BRD-K37312348
CP466722	ATM	BRD-K15592317
etoposide	TOP2A, CYP2E1, CYP3A5, TOP2B	BRD-K37798499
dactolisib	MTOR, PIK3CA, PIK3CG, PIK3CD, ATR, PIK3CB	BRD-K12184916
theophylline	ADORA1, ADORA2A, ADORA2B, ADORA3, CHIA, CYP2E1, CYP3A4, HDAC2, PDE3A, PDE4A, PDE4B, PDE5A	BRD-K97799481
prostaglandin-b2		BRD-K82865713
loperamide	OPRM1, OPRD1, CACNA1A, CALM1, CYP2B6, CYP2C8, NPR2, OPRK1, POMC	BRD-K61250553
phentermine	MAOA, MAOB, SLC6A2, SLC6A3, SLC6A4	BRD-K96319534
naproxen	PTGS2, PTGS1	BRD-A87719232
apafant	PTAFR	BRD-K28115081
fusaric-acid	DBH	BRD-K87049188
ivachtin	CASP3	BRD-K64402243
RO-90-7501	APP	BRD-K58299615
amonafide	TOP2A, TOP2B	BRD-K56334280
montelukast	CYSLTR1, ALOX5, CYP2C8	BRD-A31312900
RO-15-4513	GABRA1, GABRA2, GABRA3, GABRA5, GABRA4, GABRA6, GABRB2, GABRG2	BRD-K82823076
motesanib	FLT1, FLT4, KDR, KIT, PDGFRA, RET	BRD-K99616396
cefaclor		BRD-K20338176
KU-55933	ATM, PRKDC	BRD-K25311561
famciclovir		BRD-K45033733
ipsapirone	HTR1A	BRD-K90574421
linoleamide	SOAT1, SOAT2	BRD-K64044582
bromhexine		BRD-K47631482
dantron		BRD-K10065684
coumaric-acid		BRD-K96271548
pyroxamide	HDAC1	BRD-K11663430
withaferin-a	ACHE, BCHE, IKBKB	BRD-A52193669
oligomycin-a	ATP5A1	BRD-K74133369
NGB-2904	DRD3	BRD-K05181084
T-0901317	NR1H3, NR1H2, ABCA1, NCOA1, NCOA2, NR1I2, RORA, RORC, RXRB	BRD-K23383398
AG-490	JAK2, JAK3, EGFR, STAT3	BRD-K12357156
GW-1929	INS, PPARG	BRD-A15415227
ML-7	MYLK	BRD-K93201660
WYE-125132	MTOR, PIK3CA	BRD-A45498368
thiorphan	MME	BRD-A56012032
pizotifen	HTR2A, HTR1A, HTR2C	BRD-K75958195
diazoxide	ATP1A1, CA1, CA2, KCNJ11, KCNMA1, SLC12A3	BRD-K73109821
BJM-CSC-19		BRD-K92817986
tiabendazole		BRD-K77695569
mirtazapine	ADRA2A, HTR2A, HTR2C, ADRA2C, HTR3A, ADRA1A, ADRA1B, ADRA1D, ADRA2B, ADRB1, ADRB2, DRD1, DRD2, DRD3, DRD5, HRH1, HRH3, HTR2B, HTR7, OPRK1, SLC6A2, SLC6A3, SLC6A4	BRD-A64977602
gabexate	PRSS1, TPSAB1	BRD-K59256312
clozapine	DRD2, DRD4, ADRA1A, ADRA1B, CHRM1, DRD1, DRD3, HRH1, HRH4, HTR1A, HTR1B, HTR1D, HTR1E, HTR2A, HTR2C, HTR6, HTR7, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CALY, CHRM2, CHRM3, CHRM4, CHRM5, CYP2C19, DRD5, HTR1F, HTR2B, HTR3A, HTR5A	BRD-K37289225
ketanserin	HTR2A, HTR2C, ADRA1A, ADRA1B, ADRA1D, DRD1, DRD5, HTR1A, HTR1B, HTR1D, HTR2B, HTR5A, HTR7, SLC18A1, SLC18A2	BRD-K49671696
alosetron	HTR3A	BRD-K46742498
pirenperone	HTR2A, HTR7	BRD-K25224017
trifluoperazine	DRD2, ABCG2, ADRA1A, CALM1, CALY, CAMK2A, DRD4, HRH1, HTR2A, HTR2C, S100A4, SCN4A, SCN9A, TNNC1	BRD-K89732114
sertraline	SLC6A4, CYP2C19, SLC6A3	BRD-K82036761
quercetin	PIK3CG, AKR1B1, ATP5A1, ATP5B, ATP5C1, CYP2C8, EGFR, GAA, HCK, HIBCH, MAOA, PIM1, PTPN1, SCN5A, SIRT1, STK17B, UGT3A1, XDH	BRD-K97399794
fluspirilene	DRD2, HTR2A, CACNG1, HRH1, HTR1A, HTR1D, HTR1E	BRD-K77947974
meclocycline		BRD-A45140972
fludrocortisone	NR3C2, AR, NR3C1	BRD-A38749782
minoxidil	KCNJ8, ABCC9, KCNJ1, KCNJ10, KCNJ11, PTGS1, REN	BRD-K14888893
PD-123319	AGTR2	BRD-A63836183
flavokavain-b	HIF1A	BRD-K30296925
alfuzosin	ADRA1A, ADRA1D, ADRA1B, KCNH2	BRD-A09056319
YM-155	BIRC5	BRD-K24681473
iloprost	PTGIR, PTGER1, PTGER2, PDE4A, PDE4B, PDE4C, PDE4D, PLAT, PTGDR, PTGER3, PTGER4, PTGFR, TBXA2R	BRD-A45664787
oxotremorine	CHRM2, CHRM1, CHRM3, CHRM4	BRD-K21936341
ormetoprim		BRD-K25310650
vanoxerine	SLC6A3, MAOA, MAOB	BRD-K32501161
xylazine	ADRA2A, ADRA2B, ADRA2C	BRD-K21565985
mifepristone	PGR, NR3C1, AR, CYP2B6, CYP2C8, CYP3A5, CYP3A7, NR1I2	BRD-A44780397
disopyramide	SCN5A, CHRM1, CHRM2, CHRM3, KCND2, KCND3, KCNH2	BRD-A29734509
ataluren	CFTR, DMD, F8, F9	BRD-K94830329
phosphodiesterase-V-inhibitor-II	PDE5A	BRD-K68873215
erythrosine		BRD-K14920963
atracurium	CHRNA2	BRD-A75935363
argatroban	F2, CYP3A5	BRD-A48261811
lobendazole		BRD-K15834839
antimycin-a	CYCS	BRD-K56001384
afatinib	EGFR, ERBB2, ERBB4	BRD-K66175015
FTase-inhibitor-B581		BRD-K04877770
dichloroacetic-acid	PDK1	BRD-K13664374
carteolol	ADRB1, ADRB2	BRD-A42167015
eprosartan	AGTR1	BRD-K67977190
sarmentogenin	ATP1A1	BRD-A89434049
GW-5074	LRRK1, LRRK2, NTRK1, RAF1	BRD-K39520573
cephalotaxine		BRD-A08877921
estradiol	ESR1, ESR2, NR1I2, CYP2B6, CYP2C19, CYP2C8, CYP2E1, CYP3A5, CYP3A7, GPER1, KCNMA1	BRD-A18917088
rutin	AKR1C3, AKR1B1, F10	BRD-K20482099
BU-226		BRD-K56115039
ubenimex	LTA4H, ANPEP, RNPEP	BRD-K59574735
K3644	KIF11	BRD-A67748489
erythromycin	CYP3A4, MLNR	BRD-K63550407
bufalin	ATP1A1	BRD-K63606607
glycocholic-acid	FABP6	BRD-K54771420
vardenafil	PDE5A, CYP2C19, CYP2C8, CYP3A5, PDE6G, PDE6H	BRD-K13926615
tetramisole		BRD-A46393198
calyculin	PPP1CA, PPP1CC, PPP2CA	BRD-A47513740
apicidin	HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9	BRD-K64606589
resveratrol	PTGS1, PTGS2, SIRT1, APOA1, BACE1, CSNK2A1, MAOA, NQO2, SCN5A, TXNRD1, TXNRD2, XDH	BRD-K80738081
diphemanil	CHRM3	BRD-K93441486
estrone	ESR1, ESR2	BRD-K81839095
ifenprodil	GRIN1, GRIN2B	BRD-A24191444
reversine	AURKB, ADORA3, AURKA, INCENP, MAP2K1	BRD-K77286328
KU-0063794	MTOR	BRD-K67566344
gelsemine	GLRA3	BRD-A17535965
SB-225002	CXCR2	BRD-K61323504
BRL-15572	HTR1D, HTR1A, HTR1B, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR6	BRD-A51829654
M-3M3FBS	PLCB2, PLCB3, PLCD1, PLCG1, PLCG2	BRD-K09635314
disulfiram	ALDH2, ALDH1A2, ALDH5A1, ALDH7A1, CYP2E1, DBH, DNMT1, TRPA1	BRD-K32744045
azauridine		BRD-K56745457
KU-C103871	SMAD3	BRD-K51302260
trequinsin	PDE4A, PDE4B, PDE4C, PDE4D, PDE5A, PTGIR	BRD-K84663978
EMD-66684	AGTR1	BRD-K88759641
strophanthidin	ATP1A1, ATP1A2, ATP1A3, ATP1A4, ATP1B1, ATP1B2, ATP1B3, ATP1B4, FXYD2	BRD-K84595254
AG-494	EGFR	BRD-K81209512
finasteride	SRD5A2, SRD5A1, AKR1D1, AR	BRD-K01095011
alprazolam	GABRA1, GABRA2, GABRA3, GABRA5, CYP3A5, GABRA4, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ	BRD-K32398298
ouabain	ATP1A1, ATP1A2, ATP1A3, ATP1A4, ATP1B1, ATP1B2, ATP1B3, ATP1B4, FXYD2	BRD-A68930007
RO-10-5824	DRD4	BRD-K79684402
KIN001-242	RPS6KA3	BRD-K24859147
ranolazine	SCN9A, SCN10A, SCN5A, SLC22A2	BRD-A97674275
JNJ-26854165	HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, MDM2	BRD-K83837640
methylergometrine	DRD1, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C	BRD-A63667919
SKF-89976A	SLC6A1	BRD-A49046702
bifonazole	CYP2B6	BRD-A94543220
FR-139317	EDNRA	BRD-A80641450
KU-C103885		BRD-K36153907
Cyclo-[Arg-Gly-Asp-D-Phe-Val]	ITGAV, ITGB3	BRD-K95992530
aminogenistein	LCK	BRD-K04976539
remoxipride	DRD2, DRD3, DRD4, HTR2A, SIGMAR1	BRD-K54094468
zatebradine	HCN1, HCN2, HCN3, HCN4	BRD-K92446736
butylparaben		BRD-K08287586
PD-173074	FGFR1, FGFR3, FGFR2, FGFR4, FLT1, FLT4, KDR, PDGFRA, PDGFRB	BRD-K97764662
procaterol	ADRB2	BRD-A22684332
crizotinib	ALK, MET, CYP2B6, CYP3A5, MST1R, ROS1	BRD-K78431006
SC-68376	MAPK14	BRD-K85871428
sinensetin		BRD-K84996949
L-689560	GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D	BRD-A28422058
angiogenesis-inhibitor	EGFR	BRD-K08502430
axitinib	KDR, FLT1, FLT4, CSF1, CYP2C19, CYP3A5, KIT, PDGFRB, PLK4	BRD-K29905972
ICI-118551		BRD-A78942461
ilomastat	ACAN, ADAM28, MMP1, MMP12, MMP13, MMP14, MMP2, MMP3, MMP8, MMP9	BRD-K51662849
SC-560	PTGS1	BRD-K14767410
desipramine	SLC6A2, SLC6A4, ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD2, HRH1, HTR1A, HTR2A, HTR2C, SMPD1	BRD-K60762818
BAPTA-AM	KCNA3, KCNA5, KCNH2	BRD-K40919711
fenoldopam	DRD1, ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, DRD4, DRD5	BRD-A50684349
proxymetacaine	SCN10A, SCN5A, SCN9A	BRD-K79116891
lypressin	AVPR1A, AVPR1B, AVPR2	BRD-K93331255
neratinib	EGFR, ERBB2, ERBB4, KDR	BRD-K85606544
digoxigenin	ATP1A1	BRD-K18619710
digitoxin	ATP1A1	BRD-A93236127
bicalutamide	AR, CYP2C19	BRD-A29485665
moxifloxacin	TOP2A	BRD-K66615216
J-104129	CHRM3	BRD-K26429091
ZM-323881	KDR	BRD-K67831364
benzyl-quinazolin-4-yl-amine	EGFR	BRD-K43796186
venlafaxine	SLC6A2, SLC6A4, CYP2C19, SLC6A3	BRD-A51714012
tenidap	ALOX5, KCNJ4, PTGS1	BRD-A87479750
BAY-11-7821	RELA	BRD-K15025317
SA-94315	CASP3	BRD-K20197062
retrorsine		BRD-K42142750
rizatriptan	HTR1D, HTR1B, HTR1F, HTR1A, HTR1E	BRD-K75699339
W-7	CALM1, CALM2, KCNA5, KCNH2, TNNC1, TNNI3	BRD-K90259198
iodoacetic-acid		BRD-K88868628
hydrocortisone	ANXA1, NOS2, NR3C1, NR3C2	BRD-A65767837
CNQX	GRIA1, GRIA2, GRIA3, GRIA4	BRD-K53545112
lofepramine	SLC6A2, SLC6A4	BRD-K82147103
riluzole	KCND3, KCNK10, KCNK2, KCNK4, KCNN4, SCN5A, SLC7A11	BRD-K21283037
vindesine	TUBB, TUBB1	BRD-K59753975
moracizine	SCN5A	BRD-K21548250
calcitriol	VDR, CYP3A5	BRD-A84327315
berbamine	CALM1	BRD-K50464341
thiazolidinecarboxylic-acid		BRD-K92413528
bezafibrate	PPARA, PPARD, PPARG, HSD11B1, LPL	BRD-K46018455
sphingosine	GLTP, PVR, TRPM3	BRD-K62959606
rimantadine		BRD-A75479906
RU-24969	HTR1A, HTR1B, HTR6, HTR1D, HTR2A, HTR2B, HTR2C, HTR5A	BRD-K00234327
androsta-1,4-dien-3,17-dione	CYP19A1	BRD-A95513702
CP-94253	HTR1B	BRD-K33860217
propantheline	CHRM1, CHRM2, CHRM3, CHRM4	BRD-K90885812
leucodin		BRD-K96119599
quizartinib	FLT3, CSF1R, KIT, RET, PDGFRA, PDGFRB	BRD-K93918653
quinapril	ACE	BRD-K72222507
RU-28318	NR3C2	BRD-A92585442
HTMT	HRH4	BRD-A66435872
cromakalim	KCNJ8, ABCC9, KCNJ5	BRD-A76093993
tozasertib	AURKA, AURKB, ABL1, AURKC, BCR, FLT3, JAK2, DDR2, LCK	BRD-K59369769
bupropion	SLC6A2, SLC6A3, CHRNA3, CYP2B6	BRD-A05186015
HDAC3-selective	HDAC3	BRD-K29313308
triflupromazine	HTR2B, CHRM1, CHRM2, CHRNA7, DRD1, DRD2	BRD-K63675182
fraxetin		BRD-K76587808
asiaticoside		BRD-A66199457
dantrolene	RYR1, RYR3	BRD-K81272440
fludarabine	ADA, DCK, POLA1, RRM1, RRM2	BRD-K66788707
mexiletine	SCN5A, AHR, CYP2B6, CYP2E1, KCNK2, KCNK3, SCN4A	BRD-A64092382
chlorphenamine	HRH1, SLC6A2, SLC6A3, SLC6A4	BRD-A04553218
MST-312	TERT	BRD-K19894101
norgestrel	CYP2E1, PGR	BRD-A50928468
BX-795	PDPK1, CDK2, CHEK1, GSK3B, IKBKE, KDR, PDK1, TBK1	BRD-K47983010
SN-38	TOP1	BRD-A36630025
lavendustin-a	EGFR, LCK	BRD-K23583188
GSK-1059615	PIK3CA, PIK3CG	BRD-K06750613
yohimbine	ADRA2A, ADRA2C, ADRA2B, HTR1A, HTR1B, HTR1D, HTR2B, DRD2, DRD3, HTR1E, HTR1F, HTR2A, HTR2C, HTR5A, HTR7, KCNJ1, KCNJ10, KCNJ11, KCNJ12, KCNJ14, KCNJ15, KCNJ8	BRD-A51410489
risperidone	DRD2, HTR2A, ADRA1A, ADRA1B, DRD3, HRH1, HTR1A, HTR1D, HTR2C, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CYP3A5, DRD1, DRD4, HTR1B, HTR1E, HTR1F, HTR6, HTR7	BRD-K53857191
benzamil	PKD2L1, SCNN1A, SCNN1B, SCNN1G, ASIC1, SCNN1D, SLC8A1	BRD-K87158025
androstanol	NR1I3	BRD-U66370498
meprylcaine		BRD-K65417056
fluvoxamine	SLC6A4, CYP2C19	BRD-K72676686
thiotepa	CYP2B6	BRD-K09631521
RO-25-6981	GRIN2B, SLC18A2	BRD-K51541829
hypericin		BRD-K29673530
WYE-354	MTOR	BRD-K77008974
dichlorobenzamil		BRD-K12906962
indapamide	KCNQ1, CA7, KCNE1, SLC12A3	BRD-A95869247
triamterene	SCNN1A, SCNN1B, SCNN1G, SCNN1D	BRD-K92049597
diflorasone	NR3C1, PLA2G1B	BRD-K17674993
xanthoxyline		BRD-K12260308
SR-95639A	CHRM1	BRD-K19309090
fasudil	ROCK1, ROCK2, PKIA, PRKACA	BRD-K76617868
robustic-acid		BRD-K54411430
dexchlorpheniramine		BRD-K39462424
dictamnine		BRD-K29178788
tacrine	ACHE, BCHE	BRD-K81473089
H-8	PKIA, PRKACA	BRD-K18742343
BI-2536	PLK1, BRD4, PLK2, PLK3	BRD-K64890080
miglitol	GAA, MGAM, GANAB, GANC, SLC5A4	BRD-K44779798
fostamatinib	SYK, FLT3, RET	BRD-K20285085
butabindide	TPP2	BRD-A58157837
GSK-461364	PLK1	BRD-K92428232
SA-792987	WEE1	BRD-K82823804
oleanolic-acid		BRD-A41112154
simvastatin	HMGCR, CYP2C8, CYP3A4, CYP3A5, ITGB2	BRD-A81772229
tenoxicam	PTGS2, PTGS1	BRD-A22844106
digoxin	ATP1A1, ABCB1, RORC, SLCO1B3	BRD-A94756469
ZK-93423	GABRA1, GABRA2, GABRA3, GABRA5, GABRB2, GABRG2	BRD-K33882852
glibenclamide	KCNJ11, ABCC8, CFTR, KCNJ5, KCNJ8, ABCA1, ABCB11, ABCC9, CPT1A, KCNJ1, SLCO2B1, TRPA1	BRD-K36927236
quinethazone	CA1, CA2, SLC12A1, SLC12A2, SLC12A3	BRD-A59303141
propranolol	ADRB2, ADRB3, ADRB1, CYP2C19, HTR1A, HTR1B	BRD-A10070317
nortriptyline	KCNJ10, SLC6A2, SLC6A4, ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, ADRB3, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CYP2C19, DRD2, HRH1, HTR1A, HTR2A, HTR2C, HTR6, PGRMC1, PIK3CD, SIGMAR1	BRD-K91263825
SA-792541	CASP3, CDC25A, CDC25B	BRD-K68143200
dihydroergocristine	HTR2A, ADRA1A, ADRB1, DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR3A, HTR4, HTR5A, HTR6, HTR7	BRD-A65076780
MDL-72832	HTR1A	BRD-A17453586
JLK-6	PSEN1	BRD-K22010301
